Báo cáo chiến dịch
"1 tháng 4, 2026 - 3 tháng 7, 2026"
Trạng thái chiến dịch,Chiến dịch,Ngân sách,Tên ngân sách,Loại ngân sách,Mã đơn vị tiền tệ,Trạng thái,Nguyên nhân của trạng thái,Điểm tối ưu hoá,Số lượt hiển thị,Lượt nhấp,CTR,CPC Tr.bình,Chi phí,% lượt hiển thị (vị trí đầu tiên),% lượt hiển thị (vị trí đầu tiên nhất),Tỷ lệ chuyển đổi,Lượt chuyển đổi,Chi phí/lượt chuyển đổi,Tỷ lệ hiển thị trên Mạng hiển thị,Tỷ lệ hiển thị bị mất trên Mạng hiển thị (xếp hạng),Loại chiến lược giá thầu
Bị tạm dừng,SN - Search - Cho Thuê KCN,300000, --,Hàng ngày,VND,Bị tạm dừng,chiến dịch bị tạm dừng, --,5.100,493,"9,67%",39327,19388266,"75,56%","59,80%","0,61%","3,00",6462755, --, --,Tối đa hóa số lượt nhấp
Bị tạm dừng,SN - Search - Cho Thuê Xưởng,200000, --,Hàng ngày,VND,Bị tạm dừng,chiến dịch bị tạm dừng, --,5.700,738,"12,95%",25924,19131918,"82,83%","53,92%","0,68%","5,00",3826384, --, --,Tối đa hóa số lượt nhấp
Bị tạm dừng,Demand Gen || Video || 1905,300000, --,Hàng ngày,VND,Bị tạm dừng,chiến dịch bị tạm dừng, --,81.238,7.588,"9,34%",599,4544320, --, --,"0,75%","298,00",15250,< 10%,"61,51%",Tối đa hóa chuyển đổi
Bị tạm dừng,3. Thuê đất xưởng KCN Đồng Nai 0505,200000, --,Hàng ngày,VND,Bị tạm dừng,chiến dịch bị tạm dừng, --,630,66,"10,48%",48416,3195469,"85,64%","84,01%","0,00%","0,00",0, --, --,Tối đa hóa số lượt nhấp
Bị tạm dừng,0. Pmax. Keyword + Web đối thủ,100000, --,Hàng ngày,VND,Bị tạm dừng,chiến dịch bị tạm dừng, --,56.326,4.636,"8,23%",624,2894676, --, --,"0,11%","7,00",413326, --, --,Tối đa hóa chuyển đổi
Tổng số: Chiến dịch, --, --, --, --,VND, --,, --,148.994,13.521,"9,07%",3635,49154648,"79,63%","57,86%","0,65%","313,00",157044,< 10%,"61,51%", --
Tổng số: Tài khoản,,,,,VND,,,,148.994,13.521,"9,07%",3635,49154648,"79,63%","57,86%","0,65%","313,00",157044,< 10%,"61,51%",
Tổng số: Tối đa hoá hiệu suất,,,,,VND,,,,56.326,4.636,"8,23%",624,2894676, --, --,"0,11%","7,00",413326, --, --,
Tổng số: Tìm kiếm,,,,,VND,,,,11.430,1.297,"11,35%",32163,41715653,"79,63%","57,86%","0,62%","8,00",5214457, --, --,
Tổng số: Tạo nhu cầu,,,,,VND,,,,81.238,7.588,"9,34%",599,4544320, --, --,"0,75%","298,00",15250,< 10%,"61,51%",
